,Subject,BlockCondition,run,n_hit,n_miss,n_fa,n_cr,d_prime
2,2,2-back,2.0,9.666666666666666,0.3333333333333333,0.3333333333333333,13.666666666666666,3.213992931203816
5,4,2-back,2.0,10.0,0.0,0.0,14.0,3.447596717690663
8,5,2-back,2.0,9.333333333333334,0.6666666666666666,2.0,12.0,2.542581631593256
11,6,2-back,2.0,9.666666666666666,0.3333333333333333,0.0,14.0,3.326496030555038
14,8,2-back,2.0,7.0,3.0,0.0,14.0,2.404727116823404
17,10,2-back,2.0,10.0,0.0,0.0,14.0,3.447596717690663
20,13,2-back,2.0,10.0,0.0,0.0,14.0,3.447596717690663
23,17,2-back,2.0,8.333333333333334,1.6666666666666667,0.3333333333333333,13.666666666666666,2.786809076022282
26,20,2-back,2.0,9.0,1.0,1.3333333333333333,12.666666666666666,2.588688178439391
29,21,2-back,2.0,9.0,1.0,0.0,14.0,3.0842946562837903
32,22,2-back,2.0,9.666666666666666,0.3333333333333333,1.0,13.0,2.9689354089167996
35,23,2-back,2.0,9.666666666666666,0.3333333333333333,0.0,14.0,3.326496030555038
38,24,2-back,2.0,9.666666666666666,0.3333333333333333,0.0,14.0,3.326496030555038
41,25,2-back,2.0,10.0,0.0,0.0,14.0,3.447596717690663
44,26,2-back,2.0,10.0,0.0,0.6666666666666666,13.333333333333334,3.2225905189882176
47,27,2-back,2.0,10.0,0.0,0.3333333333333333,13.666666666666666,3.33509361833944
50,29,2-back,2.0,10.0,0.0,0.3333333333333333,13.666666666666666,3.33509361833944
53,30,2-back,2.0,9.0,1.0,0.3333333333333333,13.666666666666666,2.94624880007763
56,32,2-back,2.0,9.0,1.0,0.3333333333333333,13.666666666666666,2.94624880007763
59,33,2-back,2.0,9.666666666666666,0.3333333333333333,0.0,14.0,3.326496030555038
62,36,2-back,2.0,10.0,0.0,0.3333333333333333,13.666666666666666,3.33509361833944
65,40,2-back,2.0,10.0,0.0,0.0,14.0,3.447596717690663
68,41,2-back,2.0,10.0,0.0,0.0,14.0,3.447596717690663
71,42,2-back,2.0,9.666666666666666,0.3333333333333333,0.0,14.0,3.326496030555038
74,43,2-back,2.0,9.333333333333334,0.6666666666666666,0.0,14.0,3.179852586564477
77,44,2-back,2.0,10.0,0.0,0.0,14.0,3.447596717690663
80,46,2-back,2.0,9.0,1.0,0.0,14.0,3.0741123462761855
83,48,2-back,2.0,5.0,5.0,1.0,13.0,1.451084571246432
86,49,2-back,2.0,10.0,0.0,0.6666666666666666,13.333333333333334,3.2225905189882176
89,51,2-back,2.0,10.0,0.0,0.0,14.0,3.447596717690663
92,54,2-back,2.0,10.0,0.0,0.0,14.0,3.447596717690663
95,56,2-back,2.0,9.333333333333334,0.6666666666666666,0.0,14.0,3.205395343419415
98,57,2-back,2.0,9.333333333333334,0.6666666666666666,0.3333333333333333,13.666666666666666,3.0673494872132543
101,61,2-back,2.0,9.333333333333334,0.6666666666666666,0.0,14.0,3.179852586564477
104,502,2-back,2.0,5.666666666666667,4.333333333333333,1.0,13.0,1.640033963588203
107,504,2-back,2.0,9.333333333333334,0.6666666666666666,0.0,14.0,3.179852586564477
110,507,2-back,2.0,10.0,0.0,1.0,13.0,3.090036096052424
113,508,2-back,2.0,6.0,4.0,0.6666666666666666,13.333333333333334,1.816934773733454
116,512,2-back,2.0,8.0,2.0,0.3333333333333333,13.666666666666666,2.665708388886659
119,513,2-back,2.0,8.666666666666666,1.3333333333333333,0.3333333333333333,13.666666666666666,2.8251481129420064
122,515,2-back,2.0,9.666666666666666,0.3333333333333333,3.0,11.0,2.315391547559223
125,517,2-back,2.0,9.333333333333334,0.6666666666666666,1.0,13.0,2.822291964926238
128,523,2-back,2.0,8.0,2.0,0.0,14.0,2.6443643243121047
131,527,2-back,2.0,9.666666666666666,0.3333333333333333,0.0,14.0,3.326496030555038
134,529,2-back,2.0,6.0,4.0,0.0,14.0,2.0619922960204704
137,530,2-back,2.0,5.0,5.0,1.0,13.0,1.4451824691009516
140,531,2-back,2.0,9.666666666666666,0.3333333333333333,0.0,14.0,3.326496030555038
143,532,2-back,2.0,9.666666666666666,0.3333333333333333,12.333333333333334,1.6666666666666667,0.3236279930019131
146,533,2-back,2.0,6.333333333333333,3.6666666666666665,0.3333333333333333,13.666666666666666,2.0552294369575392
149,534,2-back,2.0,8.0,2.0,2.0,12.0,2.0060325255581977
152,535,2-back,2.0,9.666666666666666,0.3333333333333333,0.3333333333333333,13.666666666666666,3.213992931203816
155,537,2-back,2.0,7.0,3.0,0.3333333333333333,13.666666666666666,2.286321915326701
158,538,2-back,2.0,9.0,1.0,0.3333333333333333,13.666666666666666,2.94624880007763
161,539,2-back,2.0,9.666666666666666,0.3333333333333333,0.3333333333333333,13.666666666666666,3.213992931203816
164,543,2-back,2.0,9.666666666666666,0.3333333333333333,1.0,13.0,2.9894612028897662
167,545,2-back,2.0,9.666666666666666,0.3333333333333333,0.6666666666666666,13.333333333333334,3.1014898318525943
